Name,Qty,Price Per Unit,Total Price,Link,Notes,,,,,,
power supply,1,32,32,https://www.amazon.com/Switching-Adapter-Converter-Transformer-Security/dp/B0BLHTC124?crid=B718EN4NA67&dib=eyJ2IjoiMSJ9.jHhVp732dWjelAjf8gTNZc4LBsEaJxJjPK2Gk4rCc-Slq4yopVinFa8zKZccG4lez1VZ0Nr_979KGuf4yM6p8f22uC2zpSzyVXM994wp5z47PI-kXBg8NSGxwX8p8G3mHgf-NPPxnhqi9Q4Lz2B0ijstZcqpJq7DJ6GFqL4-8OAfeDp0CQrex7AO0BdhAspa2RIrGcVK16QkGWSu09Dsn_ipVICaI0x6JTz36MnX0Ho.cO7s6am9CKip5KneMd6DSxgeao6Mo-8SqZK--hnXeME&dib_tag=se&keywords=36v+20a+power+supply&qid=1780077010&sprefix=36v+20a+power+supply%2Caps%2C130&sr=8-3,,,,,,,
Step down converter,1,7,7,https://www.amazon.com/Seloky-Adjustable-Step-Down-Converter-Voltmeter/dp/B0DM946DHG?crid=14FQB9LFP68GE&dib=eyJ2IjoiMSJ9.QcRP0RPhYzPcXMFTk6ylEDkbrrK0zRPS36dG1_RF8gVUHDgbnCXHhJdlBnSUmhmSUDqKZYyGlOaC7Fy4BgdhSKmLvsuz2Jf2JkfWbq6JhYZw_YDAJ97v3E87xacTobs4sPDhJ97m6mwuxDoJMIfwc52Zy6mhBff4u4mPYbjjL17duNSzKLPF3TToUvGUe9h-4V6HzTRZzoWC98c41P-EnsSMyuPLNYCHJLH5IM4KeJ9Canv2USKRO4T2JzH_XUjGNfHOa_3XsmyVMEUcQ8ZA6TiQFcxQA4nWVnXYm8skROg.T-QiV1GpwelMNedYEdqmrcTW5JApUctlcf47gS5waWI&dib_tag=se&keywords=step%2Bdown%2Bconverter&qid=1780078285&s=industrial&sprefix=step%2Bdown%2Bconverter%2Cindustrial%2C159&sr=1-6&th=1,,,,,,,
5A 250 Fuse,1,7,7,https://www.amazon.com/Bumbesti-Low-Voltage-Miniature-Circuit-Breaker/dp/B09WDCHWT8?crid=36189E5QTWS6B&dib=eyJ2IjoiMSJ9.-BT21AJF4VBaBbr_PHsMqT-r5FdXTgf1f_b9ycyTDpxSU3QEHdHWvmRPgDDgXcqVyoBAECB4f0bR46grNgS26afQSE44gG9ywrycJOK3ptnejmyDk_d6KA955b_epmdsmRcl1y_iHHHTJ3cRd4UVD42_j743gOe5oP-OOYrk_3s5nqRAOxOD2BBIVcd6clFnUvjt5mXKV_BkfBHhctPkR29m_jD_LIqz049a-LdYKDHhjdN7eVKBIy41rocVtP_zSS1WdCyK7J54d5WCMahR0K8wyEEneUhMFuAzmscATAI.YCsjpfecCycnCwBvGHrIv-0akIO4kcUNZKkQy2VB7ZI&dib_tag=se&keywords=1a%2B120v%2Bbreaker&qid=1780469187&sprefix=1a%2B120v%2Bbreake%2Caps%2C135&sr=8-5&th=1,,,,,,,
Contactor,1,11,11,https://www.amazon.com/Baomain-Contactor-CJX2-0910-110V-Phase/dp/B01KDR5B6W?crid=1SLQ1CHT1L2EP&dib=eyJ2IjoiMSJ9.4574e9wc4pZtbgiQKucp829nDhE5T48UNwhH-voB5fzK95aFtBvJ7MS9Qlwjeyzm1jYeE5PQ7oziQjtsQmPg413zwaQoSzVUa52EcZfnOHdhzzF_9vxAxjTuTVmWAMVMJRZKRIkEc_s92I_nywepcmiE2nQGptQJrgU_IY7xtCrQnr0GmDs0ANgMkXgFFvz8NK5UMVA13T5vlTxydk0rRwNMnmzWfs8eSWdFTimLN3k.2_Dj8bz4-60kPjmDdfdIzTgqYoBKKuTfmz6oKc8a-So&dib_tag=se&keywords=contactor%2B3%2Bphase&qid=1780469372&sprefix=contactor%2B3phase%2Caps%2C128&sr=8-6&th=1,,,,,,,
Estop,1,4,4,https://www.aliexpress.us/item/3256805247269854.html?gatewayAdapt=glo2usa4itemAdapt,,,,,,,
Stop,1,4,4,https://www.aliexpress.us/item/3256805220684540.html?gatewayAdapt=glo2usa4itemAdapt,,,,,,,
Start,1,4,4,https://www.aliexpress.us/item/3256805220684540.html?gatewayAdapt=glo2usa4itemAdapt,,,,,,,
Frame Motor Plate Left,1/4in Steel,JLCCNC,7.94,,6mm sheet metal,,,,,,
Frame Motor Plate Right,1/4in Steel,JLCCNC,7.94,,6mm sheet metal,,,,,,
Frame Bearing Plate Left,1/4in Steel,JLCCNC,5.67,,6mm sheet metal,,,,,,
Frame Bearing Plate Right,1/4in Steel,JLCCNC,5.67,,6mm sheet metal,,,,,,
Frame Back Plate Left,1/4in Steel,JLCCNC,7.63,,6mm sheet metal,,,,,,
Frame Back Plate Right,1/4in Steel,JLCCNC,7.63,,6mm sheet metal,,,,,,
Gantry Plate Left,1/4in Steel,JLCCNC,11.4,,6mm sheet metal,,,,,,
Gantry Plate Right,1/4in Steel,JLCCNC,11.4,,6mm sheet metal,,,,,,
Gantry Back Plate,1/4in Aluminum,JLCCNC,20.68,,6mm sheet metal,,,,,,
Z-Axis Carriage Plate,1/4in Steel,JLCCNC,7.95,,6mm sheet metal,,,,,,
Z-Axis Motor Plate,1/4in Steel,JLCCNC,6.37,,6mm sheet metal,,,,,,
Z-Axis Bearing Plate,1/4in Steel,JLCCNC,5.75,,6mm sheet metal,,,,,,
Z-Axis Back Plate,1/4in Steel,JLCCNC,12.43,,6mm sheet metal,,,,,,
