Name,Qty,Price Per Unit,Total Price,Link,Notes,,,,,,
M3x8mm ,1,6.96,6.96,https://www.amazon.com/200Pcs-Socket-Screws-Threaded-Spanner/dp/B0F5Q6YYWM?crid=3C23ZAJ2S3XYV&dib=eyJ2IjoiMSJ9.qy6Sk5EKMUheJnooPXMvAaPZ_BzWBXyvCiGczaJT3eyH7AEeydGlUrOYb9Ll45lh4jYfiepGgFdUQ9ulbOS6wdO42NrwecBX0rP7XUr228l4CyXJyrYl-m4gBKN65wytbgRqvuXR38nwPrxd_LYKntNVHIPVBqBAdA_T8CpnMs2148yfe1tlT5AmbmE4bmsPt-PDK4LvHN9T8FXpppxHSQYNda-FtgJrYuAOWDR1gWs.zYaEQRtEcaMCG4I1ogflXkmcbaeno0bsr9Nm8YB6fuE&dib_tag=se&keywords=m3x8&qid=1782246851&sprefix=m3x8%2Caps%2C284&sr=8-6&th=1,200pcs,,,,,,
M3x10mm,1,6.96,6.96,https://www.amazon.com/dp/B0F5Q6K2L3?th=1,185pcs,,,,,,
M3 T-slot Nuts,1,8.49,8.49,https://www.amazon.com/LifCratms-Sliding-Aluminum-Extrusion-Profile/dp/B0BHN4CV6Z?crid=3QWW1E2O4G8RH&dib=eyJ2IjoiMSJ9.uKnFmXATkhGm_u9pbT5kXknll36uBPcvAxoTtiRBUCH92uuuX1H4LfkqzBCi7uvDkvNrj3b6FIBSIR5j4Zd6eruBtYuGjjBe1iiEXUmTf1YDh9vuZv3wcW3UypEEu1Vi79c6qvOA_lb_APCLXntTi46D_75s7tnhrWmZGqbhFjtUFJ845MxJ3GAMXViXG_PO3z8qhEQpqAHCg5Qat4HgQ1T2BZIPQaeUaUUrvl2tYSmqyvF9Wrung27cJoMKOeYnUIY0dFbz80-OubBOLBxDaPYPcr1Au4Q9TJ7SeDrksRY.MKseVYgbQJ61cgNsI3_jUr0gQMx4CEREKgEvarRQwGU&dib_tag=se&keywords=t-slot%2Bnuts%2Bm3&qid=1782247344&s=industrial&sprefix=t-slot%2Bnuts%2Bm%2Cindustrial%2C308&sr=1-6&th=1,may need 2,,,,,,
M5x12mm,1,6.5,6.5,https://www.amazon.com/SVLING-M5-0-8-100PCS-Threads-Spanner/dp/B0GHN7BZ19?crid=14249Z3F8OG9E&dib=eyJ2IjoiMSJ9.tM8B2IxcHH2cINFrTGvRAsyxmiIYNr6w4hvUL5xfh78oYM5aw7RLZTLkKMs_vPUnorJg86E8pLmTYeHn375wd_euFIGY7QFLmbpKqvZAYjKO_qxdpZTocTKW5VsVbUPHYQZdiZc8m7o7-J7GMVujjaKBbCk7jHayHufwGsGfdbcbXO-AK7gQMcoA2Ri3MTfnZRfUIFdR3zpjTfamtHuIHProTdMcHaKCsHDLoy9j9b5cSG2liG72TfUfvEqoR9Xrjt6lKmuLqnLMZio4Zi-2YGQ6O3YvKy4vutnrcWOLLgQ.gltvoj5KVgn1t2TOL4RDZtQWz3D0PGvEAnslZ7TjpEs&dib_tag=se&keywords=m5%2B16mm&qid=1782248075&s=industrial&sprefix=m5%2B16mm%2Cindustrial%2C116&sr=1-9&th=1,100pcs,,,,,,
M5x16mm,1,6.84,6.84,https://www.amazon.com/SVLING-M5-0-8-100PCS-Threads-Spanner/dp/B0GHN5GF8P?crid=14249Z3F8OG9E&dib=eyJ2IjoiMSJ9.tM8B2IxcHH2cINFrTGvRAsyxmiIYNr6w4hvUL5xfh78oYM5aw7RLZTLkKMs_vPUnorJg86E8pLmTYeHn375wd_euFIGY7QFLmbpKqvZAYjKO_qxdpZTocTKW5VsVbUPHYQZdiZc8m7o7-J7GMVujjaKBbCk7jHayHufwGsGfdbcbXO-AK7gQMcoA2Ri3MTfnZRfUIFdR3zpjTfamtHuIHProTdMcHaKCsHDLoy9j9b5cSG2liG72TfUfvEqoR9Xrjt6lKmuLqnLMZio4Zi-2YGQ6O3YvKy4vutnrcWOLLgQ.gltvoj5KVgn1t2TOL4RDZtQWz3D0PGvEAnslZ7TjpEs&dib_tag=se&keywords=m5%2B16mm&qid=1782248075&s=industrial&sprefix=m5%2B16mm%2Cindustrial%2C116&sr=1-9&th=1,100pcs,,,,,,
M5x16mm LP,1,6.99,6.99,https://www.amazon.com/Metric-Socket-Screws-Stainless-Machine/dp/B0G19BTD8N?crid=341YP8SS24TQD&dib=eyJ2IjoiMSJ9.d5T92tf7l-Adqb2jbEzjbYhHPSb6u2d3E1bfPZH37lw7Zd_XQZkpe0ZnhuZavng5z_rgGQbZrRd1pqMAi7rQ9FMjF5Tgq8SaluQq0qZzZwjVmpQFJmFdKVtkzGxEiWcaNoZbv4CuHOH7LyxibDcA6H0K_BjTrSfi2G1GN6dKmkT__DRRJfzoSAGyhfAi6qE7oyEr3BoytvZQmtzLUk8Wk3lU9utrizRQQ2CGtz9HdgEi2Gt0u9L0t0jBGDH5qNxAN5KmPzOkLnnLoge_AXONPGQ6O3YvKy4vutnrcWOLLgQ.oheqbUsx5TQGTZSLFR_B_udmYiIvPW2qjbyJox7zZ-A&dib_tag=se&keywords=m5x16mm&qid=1782249186&s=industrial&sprefix=m5x16mm%2Cindustrial%2C115&sr=1-3&th=1,25pcs,,,,,,
M5x35mm,1,10.19,10.19,https://www.amazon.com/BNUOK-Socket-Washers-Threads-Spanner/dp/B0F99J8S1F?crid=35FQKFLFGM7NZ&dib=eyJ2IjoiMSJ9.uRYcPPbQ-3xBThro3ejVqrUaO3pW5MgUvyAonJFQDN5a209A59uEKHdfx5wrxUIFy-X3cwOc0MIcWVXdSyGi_OkZTXO3R8uMBz39YH67iFPkugVpJZgLPJkEJduaz8Gmre5d2frcQ0O3wN7lYSKy9greJCimbHDePt93tLbouDuEqeACYfk6a6up_6PYYpLxue5lfEE1ezLaMzX_31xEqFYAeCLIY7YPuHCrSvTmUdd5-k_A_UJpoq9CljZeWd2HRAZuAXmTGaKU8VhxAxOPnqYup9dHkgDXCfuGtSdhd_I.-6thaQH5ew4Nb306BPlLTPugqWfMNtBadEf6pMlFuIc&dib_tag=se&keywords=m5x35&qid=1782248592&s=industrial&sprefix=m5x35%2Cindustrial%2C115&sr=1-8&th=1,"60pcs, comes with nuts",,,,,,
M5x45mm,1,6.39,6.39,https://www.amazon.com/SVLING-M5-0-8-Socket-Threads-Spanner/dp/B0GHN852F3?crid=2IBW57HOFOJ6P&dib=eyJ2IjoiMSJ9.STDoBegjNSsXip1lZUnRasPoSqQjt6VUebBRWTuKBQFy7rr26yLRg1QTQx1q1-PXkVYxw56sQ-hm-TmktKex1QwHqqDwbpdxjboQIpBPMouQ0_Q6xb-Yw5lFM5kOPRs8ClTD44nYf1BYrJKzagZ8EANESLbFWhFjxQTNbCtL7HrdmBjhw1ELK2ruW5M90T05WwalKRkD0APEtnN9H9-xoQrxzPcOfTjYMOlUHooAN3LCM1R_SFPLvbOeUjRt-b-0uCiaOFzYRa5zLqTsVCw2AZ7snZ3RdkCG6ZTY3y3uF_A.QMYQuHZsYBUN4LeJZL913LBSJ4ru64tm_uoy0xL-gBI&dib_tag=se&keywords=m5x45&qid=1782248715&s=industrial&sprefix=m5x45%2Cindustrial%2C115&sr=1-6&th=1,40pcs,,,,,,
M5 Nuts,,,0,,covered in M5 35mm kit,,,,,,
M5 T-Slot Nuts,1,6.99,6.99,https://www.amazon.com/JCSPBYL-Sliding-Hammer-Aluminum-Profiles/dp/B0BK75LJNF?crid=2XBUJQB7UNVDS&dib=eyJ2IjoiMSJ9.dUdBBUpPyYIDTYHow3WwLYUyLuwu4JHlNkDyaXe--glXSKsFX3hMXMpMjEdWPh4LuEi3h7h3OnG-IAoBYBWbvk8THjCL40vxWvFhHXmRWQYfzAvsQK-KOxY-bpFM0151EMfl_8sZn-TCMndg99MJ4d6lD5OBd51jS4FfLqayR7bFtttNDncBS9pzqExkkrFw9CE5_fNtcJjpaF-2RrFJpxBIEHxygIGJqTgKPBoQl1btolNhJZkt8rJ5AgOtJJW6caawB95cgvKeTBGfvpaSLHgyu7Jmqy_VhbTM8-plI2o.qqAQo53QaSIloAZFGboDJSObagFdl9YNrF0DMPu2OSs&dib_tag=se&keywords=m5%2Bt%2Bslot%2Bnuts&qid=1782248794&s=industrial&sprefix=m5%2Bt%2Bslot%2Bnut%2Cindustrial%2C120&sr=1-4&th=1,100pcs,,,,,,
